Оценка,Положительный отзыв,Отрицательный отзыв
6,"Posizione ideale, vicino alla metropolitana. Lo staff è stato gentile, cordiale e accogliente.","La colazione aveva poca scelta ed era costosa quindi non siamo andati. La biancheria dei bagni e del letto non era pulita, presentava segni e macchie. Mancava lo scopino del water, il bagno era freddo e il porto sapone era rotto. Inoltre abbiamo trovato un gomma da masticare sull’asciugamano della doccia."
5,Die Lage ist sehr gut unweit der U-Bahn. Man kommt schnell überall hin,Etwas anders als auf dem Fotos jedenfalls bei uns
5,localização,"Quarto muito pequeno para o que se paga. 
Pequeno almoço pobre, para o que que se paga. vale bem a pena não incluir o pequeno almoço e depois ir tomar a um café colado à estação de metro"
10,"Le personnel est chaleureux, très efficace et attentif à nos besoins. La chambre est très bien agencée. Le petit déjeuner généreux est servi dans une salle très agréable avec un personnel aux petits soins. L’emplacement est proche des transports et direct pour les principales attractions touristiques. Je recommande.",Le matelas est un un peu mou. La grande vitre du balcon nécessite d’être lavée de l’extérieur après le passage des pigeons.
10,Perfect,Отрицательный отзыв отсутствует.
6,De locatie was super en het hotelpersoneel was op en top vriendelijk en behulpzaam.,"De badkamerbekers waren totaal niet proper. Voor deze prijs konden de zeep, shampoo, douchekapjes wel bijgevuld worden.
Ik heb een superiorkamer geboekt voor 2 personen met een dubbelbed maar kon er geen krijgen met 2 enkele bedden dus heb ik een deluxe kamer moeten boeken. Deze kreeg slippers, wijn, nootjes, frisdrank. Waarom? De prijzen zijn al niet goedkoop dus vind ik wel dat dit voor een superiorkamer ook zo zou moeten zijn."
6,"قريب من المطاعم ومحطه المترو
يبعد عن الهارودز 30 دقيقه","واي فاي سيئ جدا 
لا يوجد عزل بين الغرف وممرات"
5,"Ottima la posizione, buono il servizio di colazione e la camera offerta.","Il transfer dall'aeroporto è stato un flop incredibile. Ritardo dell'autista al gate, inoltre era senza auto al seguito, ci ha portato con un bus di linea in un parcheggio per prendere un auto che non abbiamo mai trovato!!! Quindi niente transfer ma passaggio di fortuna con notevole ritardo che non ci ha consentito di arrivare presso il ristorante dove avevamo prenotato un tavolo!!"
10,tolle Lage und gutes Preis Leistungsverhältnis,Отрицательный отзыв отсутствует.
10,Amabilidad y el trato por parte del personal,"El desayuno , 5 días con lo mismo : beicon, salchichas, huevo, champiñones (algo mas de variedad se agradecería), a menos también había tostadas .
el idioma, solo Inglés, aunque en la web ponga español , solo tuvimos ocasión el día de la llagada con el recepcionista, el resto del personal aunque le hablases en cutres inglés que ni nosotros sabíamos lo que decíamos te miraban con una bonita sonrisa y listo"
5,struttura in posizione ottima peccato le stanze nella zona sottostante e per risolvere il problema in cambio una stanza gelida con una stufetta … per fortuna Titti risolto grazie all’ intervento di una brava receptionist,stanze nel buttom
10,La atención,Los cuartos del basement
5,Atendimento e disponibilidade dos funcionários,"Do pequeno almoço, diminuto e sem variação"
6,Положительный отзыв отсутствует.,colazione
6,Die Lage des Hotels ist wirklich gut. Die U-Bahn ist schnell zu Fuß zu erreichen. Das Personal ist super nett und hilfsbereit.,Kleines Bad und kleine Zimmer. Insgesamt scheint das Hotel schon sehr in die Jahre gekommen zu sein.
10,Es war ein großes Zimmer und sehr zuvorkommendes Personal,Die Matratze war zu weich.
6,"Die Lage war sehr gut. In der nähe der Ubahn Earls Court, sehr zentral.
Das Personal war sehr nett und professionell.","Die Ausstattung ist ein bisschen in die Jahre gekommen. Der Teppichboden überall, könnte als alt bezeichnet werden. Das Frühstück entspricht nicht einem 4 Sterne Niveau. Zimmer waren hellhörig."
6,"lo staff è stato gentilissimo, soprattutto anna.","la camera e l’armadio erano piccolissimo. 
in televisione c’erano solo programmi inglesi."
6,قربك من المدينة,السعر غالي والافطار غير جيد
5,locatie is handig op loopafstand van earls court,warme kamer zonder ramen op begane grond. geen tafel voor diner omdat het vol zat. ook voor ontbijt moeten wachten. prijs weegt niet op tov kwaliteit
6,beliggenhed. god morgenmad,værelses var mørkt
5,"ubicacion
barrio","habitacion de segundo sotano Sin Luz natural.
colchon limite en comodidad"
6,emplacement et l acceuil du personnel,"chambre petite et petit dejeuner tres en desous , pas de choix de the , jus d orange de synthese!!! 
cheap !!! choix des confitures lilitrs en conditionement plastique !
nous sommes venus plusiurs fois depuis 6 ans et les prestations ont régressées 
les esuipements sont fatigues. moquette peinture !! sdb !!!"
6,"Camere al secondo piano ampie e ben pulite. Servizio reception non male. Posizione ottima, a pochi minuti dalla fermata di Earl’s Court.","Moquette delle parti comuni un po’ sporca. Qualità della biancheria non eccellente. Colazione scarsa e di pessima qualità: uova strapazzate senza gusto, il dispenser del succo d’arancia era riempito versando il prodotto dai contenitori di cartone enormi e acquistati nei discount a 1£, baguette e croissant surgelati e scaldati al momento, solo una scelta di formaggi e di pessima qualità, assente il salmone affumicato. Altra nota dolente: cappuccino e caffè espresso sono considerati extra a pagamento, precisazione non indicata in fase di prenotazione. In generale personale non curatissimo nella divisa e nell’attenzione al cliente. 
In generale se i costi fossero più bassi sarebbe una buona alternativa."
5,la posizione,"il personale impreparato e superficiale nel dare informazioni, talvolta anche errate"
3,läget,Förledd att betala i SEK med hög växelkurs. ca 2000 k dyrare pris än när jag bokade.
4,"Letto molto comodo, posizione buona, vicino alla metro.","Servizi scadenti - abbiamo aspettato 3 ore per avere un asciugamano da doccia che mancava nella dotazione dovendo chiamare tre volte.
Pulizia molto scadente - bicchiere per spazzolino sporco e polvere evidente ovunque
Colazione deludente per un hotel 4 stelle - scarsa scelta e qualità appena sufficiente"
5.4,"La posizione dell’hotel è molto favorevole, a earl’s court, comodo con la metropolitana raggiungibile direttamente dall’aeroporto di heathrow, vicino a piedi a diversi musei e buoni ristoranti di Kensington.",La camera doppia “deluxe” era al piano -1 senza finestra. Assolutamente inaccettabile.
4,l’emplacement proche de la station earl’s court,personnel peu sympathique. pas de cuisinier à disposition lors du petit déjeuner. cabine de douche oxidée et joints rafistolés. porte des wc mal pratique qui ouvre en arrivant au milieu de l’évier. problème de facturation. photos du site survendues par rapport à la réalité. quartier bruyant.
5.8,die Lage,Preisleistungsverhältnis: Das Zimmer war klein und eher altmodisch. Sah nicht nach einem 4 Sterne-Hotel aus.
6,bom. muito boa a localização,"colocaram a gente em um apartamento no sub solo do hotel, sem ventilação, acomodacao horivel."
5,نظيف ومرتب,الغرف صغيرة جدا والسرير متعب وضيق كانه سرير اطفال
5,Положительный отзыв отсутствует.,"Pokój bez okna, noc miesza się z dniem, można dostać klaustrofobii. Informacja o pokojach bez okien powinna być zawarta w opisie na booking.com. To bardzo istotna informacja. Uważam to poważne wprowadzenie w błąd. Brak cieplej wody wieczorem (podobno awaria) również nie poprawia oceny tego hotelu. A koszt taki sam, jak dobrego hotelu w centrum Londynu. Jestem mocno zawiedziony."
6,"موظفون الاستقبال وسرعه الاجراءات الدخول
وضعي في غرفتين مفتوحه على بعض حسب طلبي
ريحة المكان جميلة 
الاستقبال فالغرفه مشروبات وفواكة و بسكوت الشاي بشكل يومي مع التنظيف
يوجد مايكرويڤ فالغرفة
يوجد شاي وقهوة مجانيه عند الاستقبال","السرير الكنق لشخصين كان صغيرا جدا 
لايوجد عند المدخل مكان لعربات الاطفال او الاحتياجات الخاصه 
الغرف ضيقة 
عزل الصوت ضعيف"
3,Положительный отзыв отсутствует.,Zimmer ohne Fenster für GBP 300!
6,Freundliches Personal. Gutes Frühstück. Gute Lage für alle Richtungen.,"Das Zimmer war im Keller, kein Delux-Zimmer wie versprochen. Attrappe als Fenster."
5,localização,"quarto, parece uma caverna"
5,ארוחת בוקר סטנדרטית.,"המלון הונה אותנו.הוא מתיימר להיות 4 כוכבים,אבל הוא לא.גם המחיר שגבו גבוה לרמה הזאת.העובדה שלא ניתן לבטל הזמנה היתה צריכה להדליק נורה אדומה.
מסקנה -להיזהר ולא לקנות מלון שאין בה דמי ביטול.ולבדוק היטב מה מקבלים.
בעיקר-לכם-לבדוק אם מלון שמגדיר עצמו 4 כוכבים הוא באמת כזה.המחיר לא מצדיק."
5,Положительный отзыв отсутствует.,Im Restaurant Service nicht aufmerksam
5,服务,房间太小了，棉被质量对不起四星的酒店
6,Das Frühstück und das freundliche Personal.,"Das Deluxe Zimmer hatte kein Fenster. Lüften ging nur über die Klimaanlage und um zu schauen wie das Wetter ist, musste man nach oben gehen. Dementsprechend dunkel war das Zimmer auch.

Das WLAN ist häufig abgebrochen und im Zimmer gab es kein Mobilfunknetz."
4,"Die Lage ist sehr gut: zentral, lebendig, gut erreichbar. Supermarkt um die Ecke, usw..
Betten und Dusche super.","Das Fenster ließ sich im Hotelzimmer nicht öffnen. Trotz sofortigem Hinweis an das Personal - keine Reaktion. 5 Tage ohne Frischluft waren schon grenzwertig. Es war zugebohrt o.ä. , andere Fenster ließen sich der Außenansicht nach im Hotel öffnen. Beklemmend.

Das Frühstück konnten wir nach einem Tag abbestellen bzw. haben das Geld dafür zurück bekommen. Wir hatten ganz andere Vorstellungen für diesen Frühstückspreis gehabt."
6,Положительный отзыв отсутствует.,La chambre que nous avons réservée via booking ne correspond pas à la chambre proposée
6,pulizia,colazione e posizione camera
5,Emplacement idéal en sortie de métro. Taille de chambre convenable et moderne.,Personnel non polyglotte dommage
10,Super freundliches Personal und super sauber,Das WLAN hat nicht funktioniert
10,As pessoas da equipe são muito atenciosas e educadas. O tamanho do quarto é maior do que estavamos esperando e a localização é perfeita.,Отрицательный отзыв отсутствует.
5,"Das Personal war wirklich sehr sehr nett und hilfsbereit.
Jedoch die Organisation war nicht Ideal.
Das Zimmer war Ok und Bett war bequem.
Sie hatten sogar ein Bügel :) und Adapter für den Steckdose","Organisation, Sauberkeit, preis-Leistung-Verhältnis
Für den Preis habe ich ehrlich gesagt mehr erwartet
Personal war zwar sehr Nett und hilfsbereit, jedoch ist das nicht alles und war trotzdem enttäuscht mit einigen Situationen."
5,Положительный отзыв отсутствует.,Très mauvaise nuit en dépit d'une très bonne literie...voisins insupportables et irrespectueux nous ayant empêché de dormir une partie de la nuit. Dommage..attendons un dédommagement.
6,"Super Lage, nette Pubs in der Nähe, Underground 5 Minuten entfernt.","Zimmer im Keller ohne frische Luft
Betten recht klein"
4,bien situé,la chambre était au sous-sol sans fenêtre!!!
4,Atendimento,Não tinha nem uma prateleira no quarto para colocar a roupa.
2,Het enige positieve aan dit hotel is de centrale ligging.,We hadden een superior room met uitzicht op de stad geboekt. Dat bleek bij aankomst een kamer in de kelder zonder raam. Na veel gedoe kregen we een heel kleine kamer met uitzicht op een blinde muur en een twijfelaar die dienst deed als bed. Geen enkele compensatie was bespreekbaar.
